Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGENL046-23_r_1_s_50_BGENL046-23,BGENL046-23,1735596,32427,253,1533,4.0,2676.0,1668.7906066536204,1697.0
BGENL047-23_r_1_s_50_BGENL047-23,BGENL047-23,5818531,938,66,1533,1.0,73.0,36.92563600782779,37.0
BGENL048-23_r_1_s_50_BGENL048-23,BGENL048-23,35105183,4211,395,1533,7.0,486.0,179.013698630137,154.0
BGENL049-23_r_1_s_50_BGENL049-23,BGENL049-23,4395687,1476,20,1533,21.0,116.0,65.89432485322897,64.0
BGENL050-23_r_1_s_50_BGENL050-23,BGENL050-23,1489684,270,17,1533,2.0,30.0,13.142857142857142,13.0
BGENL051-23_r_1_s_50_BGENL051-23,BGENL051-23,867703,869,16,1533,8.0,85.0,38.403131115459885,36.0
BGENL052-23_r_1_s_50_BGENL052-23,BGENL052-23,5293367,1110,194,1533,29.0,104.0,71.88845401174169,73.0
BGENL053-23_r_1_s_50_BGENL053-23,BGENL053-23,4830516,1742,207,1533,62.0,171.0,109.81996086105676,109.0
BGENL054-23_r_1_s_50_BGENL054-23,BGENL054-23,661621,159,90,1533,0.0,26.0,9.373776908023483,9.0
BGENL055-23_r_1_s_50_BGENL055-23,BGENL055-23,2537081,741,15,1533,10.0,68.0,39.211350293542075,37.0
BGENL056-23_r_1_s_50_BGENL056-23,BGENL056-23,780554,915,21,1533,27.0,83.0,51.21526418786693,51.0
BGENL057-23_r_1_s_50_BGENL057-23,BGENL057-23,772539,1310,38,1533,25.0,96.0,60.83561643835616,59.0
BGENL058-23_r_1_s_50_BGENL058-23,BGENL058-23,513310,84,8,1545,0.0,17.0,4.871844660194175,4.0
BGENL059-23_r_1_s_50_BGENL059-23,BGENL059-23,200989,30,10,1545,0.0,9.0,1.7631067961165048,1.0
BGENL060-23_r_1_s_50_BGENL060-23,BGENL060-23,130328,23,8,1545,0.0,5.0,1.0951456310679613,1.0
BGENL061-23_r_1_s_50_BGENL061-23,BGENL061-23,944191,156,8,1533,0.0,19.0,6.227005870841487,6.0
BGENL062-23_r_1_s_50_BGENL062-23,BGENL062-23,1976444,76,20,1533,0.0,10.0,3.522504892367906,3.0
BGENL063-23_r_1_s_50_BGENL063-23,BGENL063-23,1494972,628,11,1533,7.0,52.0,27.731898238747554,27.0
BGENL064-23_r_1_s_50_BGENL064-23,BGENL064-23,1682683,588,13,1533,7.0,58.0,25.941291585127203,24.0
BGENL065-23_r_1_s_50_BGENL065-23,BGENL065-23,3780701,679,91,1533,21.0,69.0,38.906066536203525,38.0
BGENL066-23_r_1_s_50_BGENL066-23,BGENL066-23,866076,449,8,1533,6.0,36.0,20.900195694716242,21.0
BGENL067-23_r_1_s_50_BGENL067-23,BGENL067-23,5738636,136,80,1533,0.0,38.0,6.671232876712328,6.0
BGENL068-23_r_1_s_50_BGENL068-23,BGENL068-23,11810557,2982,182,1533,102.0,274.0,177.41487279843443,171.0
BGENL069-23_r_1_s_50_BGENL069-23,BGENL069-23,4100804,524,32,1533,6.0,59.0,23.794520547945204,21.0
BGENL070-23_r_1_s_50_BGENL070-23,BGENL070-23,127543,96,4,1533,0.0,10.0,5.348336594911937,5.0
BGENL071-23_r_1_s_50_BGENL071-23,BGENL071-23,299382,110,15,1533,0.0,18.0,5.420743639921722,5.0
BGENL072-23_r_1_s_50_BGENL072-23,BGENL072-23,3218793,309,28,1533,4.0,31.0,15.119373776908024,14.0
BGENL073-23_r_1_s_50_BGENL073-23,BGENL073-23,1885582,226,31,1533,2.0,25.0,9.91976516634051,9.0
BGENL074-23_r_1_s_50_BGENL074-23,BGENL074-23,2483656,423,15,1533,0.0,68.0,18.279843444227005,15.0
BGENL075-23_r_1_s_50_BGENL075-23,BGENL075-23,1973558,1291,33,1533,24.0,108.0,63.076320939334636,65.0
BGENL076-23_r_1_s_50_BGENL076-23,BGENL076-23,1891109,213,25,1533,1.0,22.0,10.287671232876713,10.0
BGENL077-23_r_1_s_50_BGENL077-23,BGENL077-23,1279897,862,16,1533,10.0,75.0,37.40508806262231,37.0
BGENL078-23_r_1_s_50_BGENL078-23,BGENL078-23,162894,59,3,1533,0.0,8.0,2.538160469667319,2.0
