ambig_basecount	ambig_full_basecount	cov_avg	cov_max	cov_min	dataset	error	identification	identification_method	identification_rank	length	n_aligned	n_reads	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	skipped_reads_low_rel_score	species	stop_codons
0	0	71.3325	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	1555	1356	4480148	656	1554	Limnephilidae	BSNHM123-24_contig1;1544-3097;+;cox1	None	Grammotaulius submaculatus	0
0	0	39.6112	None	None	data/skim2mito_default.fasta	None	Polycentropodidae	BLAST	family	1165	738	10919492	657	1164	Polycentropodidae,Psychomyiidae	BSNHM124-24_contig6;3-1166;-;cox1	None	Polycentropus mortoni	0
0	0	192.835	None	None	data/skim2mito_default.fasta	None	Heptageniidae	BLAST	family	1537	5658	19230442	657	1536	Heptageniidae	BSNHM126-24_contig0;12244-13779;-;cox1	None	Ecdyonurus forcipula	0
0	0	21.41	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	439	134	4272312	361	438	Limnephilidae	BSNHM131-24_contig4;79-516;+;cox1	None	Drusus destitutus	0
0	0	38.0253	None	None	data/skim2mito_default.fasta	None	Leptoceridae	BLAST	family	1540	900	8664268	657	1539	Pieridae,Geometridae,Leptoceridae,Odontoceridae,Calamoceratidae	BSNHM134-24_contig2;1509-3047;+;cox1	None	Mystacides azurea	0
0	0	19.2952	None	None	data/skim2mito_default.fasta	None	Psychomyiidae	BLAST	family	796	203	3740436	324	795	Psychomyiidae	BSNHM136-24_contig3;5-799;+;cox1	None	Psychomyia ctenophora	0
0	0	288.37	None	None	data/skim2mito_default.fasta	None	Leuctridae	BLAST	family	1546	4618	5490630	656	1545	Taeniopterygidae,Leuctridae,Elmidae	BSNHM140-24_contig0;2336-3880;+;cox1	None	Leuctra fraterna	0
0	0	890.448	None	None	data/skim2mito_default.fasta	None	Nemouridae	BLAST	family	1546	17051	22391788	656	1545	Nemouridae	BSNHM141-24_circular;10310-11854;+;cox1	None	Protonemura montana	0
0	0	9.26368	None	None	data/skim2mito_default.fasta	None	Hydroptilidae	BLAST	family	403	48	3793566	274	402	Endomychidae,Tineidae,Sphingidae	BSNHM142-24_contig3;1-402;+;cox1	None	Hydroptila uncinata	3
0	0	10.8199	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	322	50	3528620	237	321	Limnephilidae	BSNHM143-24_contig4;15-335;-;cox1	None	Drusus destitutus	0
0	0	68.1678	None	None	data/skim2mito_default.fasta	None	Rhyacophilidae	BLAST	family	1538	1674	15706600	656	1537	Culicidae,Muscidae,Noctuidae,Erebidae,Geometridae,Rhyacophilidae	BSNHM144-24_contig0;8993-10529;-;cox1	None	Rhyacophila meyeri	0
0	0	28.0637	None	None	data/skim2mito_default.fasta	None	Hydroptilidae	BLAST	family	1538	566	3808306	656	1537	Tettigoniidae,Acrididae,Ninidae,Curculionidae,Bostrichidae,Ptinidae,Vespidae,Tetracampidae	BSNHM145-24_contig0;8043-9579;-;cox1	None	Hydroptila acuta	0
0	0		None	None	data/skim2mito_default.fasta	None	Psychomyiidae	BLAST	family	1540		12980814	657	1539	Psychomyiidae	BSNHM148-24_circular;13716-29;-;cox1	None	Tinodes cinereus	0
0	0	19.4704	None	None	data/skim2mito_default.fasta	None	Sericostomatidae	BLAST	family	406	95	4672010	1	405	Staphylinidae,Culicidae,Simuliidae,Calliphoridae,Euteliidae,Sericostomatidae,Beraeidae,Conoesucidae,Corydalidae	BSNHM149-24_contig0;3-407;+;cox1	None	Sericostoma clypeatum	0
0	0	167.523	None	None	data/skim2mito_default.fasta	None	Heptageniidae	BLAST	family	1537	4207	3431088	656	1536	Heptageniidae	BSNHM150-24_contig0;9623-11158;-;cox1	None	Epeorus torrentium	0
0	0	293.388	None	None	data/skim2mito_default.fasta	None	Perlidae	BLAST	family	1537	7223	14822598	655	1536	Anostostomatidae,Nemouridae,Capniidae,Taeniopterygidae	BSNHM151-24_contig1;12581-14116;-;cox1	None	Dinocras ferreri	0
0	0	46.4813	None	None	data/skim2mito_default.fasta	None	Leuctridae	BLAST	family	856	478	12271218	38	855	Perlodidae,Nemouridae,Capniidae,Taeniopterygidae,Leuctridae	BSNHM152-24_contig4;3-857;+;cox1	None	Leuctra signifera	0
